dataset,seed,sample_id,condition,certified_radius,certifiable,at_ceiling
ciciomt2024,1,s257356,A1_misdirection,0.003694,1,0
ciciomt2024,1,s167347,A1_misdirection,0.0,0,0
ciciomt2024,1,s747271,A1_misdirection,0.004758,1,0
ciciomt2024,1,s578900,A1_misdirection,0.098295,1,1
ciciomt2024,1,s616878,A1_misdirection,0.098295,1,1
ciciomt2024,1,s190913,A1_displacement,0.0,0,0
ciciomt2024,1,s188267,A1_displacement,0.0,0,0
ciciomt2024,1,s713712,A1_displacement,0.003694,1,0
ciciomt2024,1,s763375,A1_displacement,0.00907,1,0
ciciomt2024,1,s703422,A1_displacement,0.024147,1,0
ciciomt2024,1,s691962,A1_displacement,0.0,0,0
ciciomt2024,1,s314730,A1_displacement,0.0,0,0
ciciomt2024,1,s270993,A1_displacement,0.0,0,0
ciciomt2024,1,s602463,A1_displacement,0.0,0,0
ciciomt2024,1,s670678,A1_displacement,0.0,0,0
ciciomt2024,1,s584696,A1_displacement,0.0,0,0
ciciomt2024,1,s657686,A1_displacement,0.0,0,0
ciciomt2024,1,s169401,A1_displacement,0.0,0,0
ciciomt2024,1,s741909,A1_displacement,0.0,0,0
ciciomt2024,1,s303847,A1_displacement,0.005827,1,0
ciciomt2024,1,s252273,A1_displacement,0.0,0,0
ciciomt2024,1,s733344,A1_displacement,0.0,0,0
ciciomt2024,1,s266013,A1_displacement,0.0,0,0
ciciomt2024,1,s663697,A1_displacement,0.000527,1,0
ciciomt2024,1,s230424,A1_displacement,0.011267,1,0
ciciomt2024,1,s749936,A1_displacement,0.0,0,0
ciciomt2024,1,s603943,A1_displacement,0.0,0,0
ciciomt2024,1,s716226,A1_displacement,0.0,0,0
ciciomt2024,1,s690745,A1_displacement,0.010164,1,0
ciciomt2024,1,s637892,A1_displacement,0.0,0,0
ciciomt2024,1,s691839,A1_displacement,0.026699,1,0
ciciomt2024,1,s772556,A1_displacement,0.0,0,0
ciciomt2024,1,s211390,A1_displacement,0.001579,1,0
ciciomt2024,1,s653518,A1_displacement,0.0,0,0
ciciomt2024,1,s192759,A1_displacement,0.0,0,0
ciciomt2024,1,s211744,A1_displacement,0.076365,1,0
